h,k,l,Fo^2_raw,Fo^2_sigma_raw,asu_h,asu_k,asu_l,Resolution,xobs,yobs,zobs,frame,Fc^2,Fo^2_fcf,Fo^2_sigma_fcf,fcf_asu_count,Fo^2_scaled,Fo^2_sigma_scaled,SRES,absSRES,Miller,asu,hkl
2,-14,11,6278.47,3734.29,2,14,11,0.6646955619162451,17.5,171.3,18.7,19,4.92,6.27,3.68,21,5.061714522734309,3.010591740519825,0.047071982835454246,0.047071982835454246,"(2, -14, 11)","(2, 14, 11)","(2, -14, 11)"
2,-12,8,14732.999999999998,6906.53,2,12,8,0.817913478032469,66.0,171.1,18.8,19,13.47,19.29,8.48,21,11.877772779585563,5.568057696015142,-0.28595738538304616,0.28595738538304616,"(2, -12, 8)","(2, 12, 8)","(2, -12, 8)"
-3,10,0,106556.99999999999,42868.00000000001,0,10,3,1.1406753230698694,316.6,367.2,19.0,19,103.62,129.09,52.02,13,85.90645720995715,34.56026359297319,-0.5125407317102864,0.5125407317102864,"(-3, 10, 0)","(0, 10, 3)","(-3, 10, 0)"
-3,14,-8,54748.0,22621.000000000004,3,14,8,0.7261045450958988,435.9,352.4,19.0,19,61.64,70.14500000000001,28.79,20,44.13794231566894,18.237093466843486,-0.9596955631198153,0.9596955631198153,"(-3, 14, -8)","(3, 14, 8)","(-3, 14, -8)"
0,8,-16,6697.889999999999,3808.81,0,16,8,0.665733338601125,481.8,221.1,19.2,19,4.11,4.44,2.72,11,5.399851728952579,3.070669907053098,0.42005548235252715,0.42005548235252715,"(0, 8, -16)","(0, 16, 8)","(0, 8, -16)"
-1,9,-11,11667.0,5683.41,1,11,9,0.8358479397145893,432.9,269.7,19.4,19,5.56,8.82,4.51,23,9.405957715293884,4.581976012572076,0.8393666192798267,0.8393666192798267,"(-1, 9, -11)","(1, 11, 9)","(-1, 9, -11)"
4,-17,4,574.3000000000001,1149.67,4,17,4,0.6646955619162451,73.4,81.3,20.1,20,0.03,0.71,1.54,15,0.4630017584548965,0.9268661529563658,0.467167516122774,0.467167516122774,"(4, -17, 4)","(4, 17, 4)","(4, -17, 4)"
1,-9,9,9839.25,4743.45,1,9,9,0.9327848698906586,77.1,214.7,20.2,20,4.88,6.23,3.405,12,7.932422169384189,3.824178462724845,0.7981903039141234,0.7981903039141234,"(1, -9, 9)","(1, 9, 9)","(1, -9, 9)"
1,-11,12,13413.0,6406.210000000001,1,12,11,0.730187639392646,28.5,214.9,20.3,20,4.24,6.22,3.6100000000000003,24,10.813586254841592,5.1646987550606696,1.2727918057951422,1.2727918057951422,"(1, -11, 12)","(1, 12, 11)","(1, -11, 12)"
-3,15,-10,1697.8899999999999,1703.21,3,15,10,0.6516314877355018,465.8,349.2,22.0,22,0.13,0.69,1.3450000000000002,18,1.3688421655284417,1.373131159703925,0.9022023546502004,0.9022023546502004,"(-3, 15, -10)","(3, 15, 10)","(-3, 15, -10)"
